Company,Type,Location,Remote/Hybrid Chance,Contact Email,Careers / Apply Link,Notes for 2nd-year ML/DS Student,CV Match Score (1-10),Why it matches your CV,Source
Finoa,Company,"Berlin, Berlin, Germany",Unknown,,https://de.linkedin.com/jobs/view/business-development-intern-m-f-d-at-finoa-4407192891,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
roofline,Company,"Cologne, North Rhine-Westphalia, Germany",Unknown,,https://de.linkedin.com/jobs/view/intern-software-engineer-edge-ai-engineering-at-roofline-4407196185,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
SANOVIO,Company,"Munich, Bavaria, Germany",Unknown,,https://de.linkedin.com/jobs/view/software-engineering-intern-full-stack-at-sanovio-4399550984,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
Avelios Medical,Company,"Munich, Bavaria, Germany",Unknown,,https://de.linkedin.com/jobs/view/intern-machine-learning-all-genders-at-avelios-medical-4384875845,Good ML fit; emphasize machine learning background. In Germany — English applications OK at most tech companies.,2,Overlaps with your machine learning experience.,LinkedIn
NewNow,Company,Germany,Unknown,,https://de.linkedin.com/jobs/view/intern-ai-solutions-project-management-business-development-at-newnow-4403756721,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
Chaos,Company,"Karlsruhe, Baden-Württemberg, Germany",Unknown,,https://de.linkedin.com/jobs/view/software-development-internship-foundational-training-at-chaos-4383801025,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
Sereact,Company,"Stuttgart, Baden-Württemberg, Germany",Unknown,,https://de.linkedin.com/jobs/view/robotics-engineer-intern-at-sereact-4398525782,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
VTTI,Company,"Rotterdam, South Holland, Netherlands",Unknown,,https://nl.linkedin.com/jobs/view/data-science-intern-at-vtti-4405659385,Good ML fit; emphasize data science background.,2,Overlaps with your data science experience.,LinkedIn
HCSS - The Hague Centre for Strategic Studies,Company,"The Hague, South Holland, Netherlands",Unknown,,https://nl.linkedin.com/jobs/view/data-science-intern-at-hcss-the-hague-centre-for-strategic-studies-4400554299,Good ML fit; emphasize data science background.,2,Overlaps with your data science experience.,LinkedIn
BMW Group,Company,"Richmond Hill, Ontario, Canada",Unknown,,https://ca.linkedin.com/jobs/view/data-analytics-intern-12-months-at-bmw-group-4398960088,Solid engineering role; highlight Python and ML exposure. Canada role — check visa/permit requirements for internships.,2,General software engineering overlap with your skills.,LinkedIn
